constellation,name_latin,name_english,stars_figure,stars_unformed,description
UMi,Ursa Minor,The Little Bear,7,1,"Seven stars, and not one wasted: a long tail rising to the pole, ending in the quadrilateral of the body. Star 1 — the tip of the tail — is Polaris, which in Ptolemy's day was NOT the pole star; it sat a full 12 degrees off the pole, an unremarkable tail-tip that precession has since promoted to the axis of the world. The anatomy alone reproduces the modern Little Dipper exactly: handle and bowl, drawn from a 2nd-century text with zero degrees of freedom."
UMa,Ursa Major,The Great Bear,27,8,"The whole animal, not just the Dipper: a muzzle, paired eyes and brow, an ear, neck, chest, four legs with feet, and the famous hindquarters. Ptolemy's figura quadrilatera — back (Dubhe), flank (Merak), tail-root (Megrez), left hind thigh (Phecda) — IS the Big Dipper's bowl, and 'the three placed in the tail' (Alioth, Mizar, Alkaid) are its handle. A bear with a long tail is bad zoology and perfect astronomy. The eight unformed stars drift south and west toward Leo and Gemini; centuries later Hevelius quarried that empty margin for Lynx and Leo Minor — you can watch the raw material waiting in this data."
Dra,Draco,The Dragon,31,0,"Thirty-one stars and the longest sentence in the northern sky: a dragon coiled between the two Bears. The anatomy reads like driving directions — tongue, mouth, jaw, eye, crown; a straight-line trio at the first bend of the neck; a quadrilateral coil; then TWO triangles, a pair of small stars off the western one, straight-line trios and pairs unwinding westward until the tail's bend and its final tip. Ptolemy narrates each curve of the serpent in order, so the figure is nearly self-drawing: one long spine that loops through every group. No unformed stars — the Dragon used everything it had."
Cep,Cepheus,"Cepheus, the King",11,2,"The king of Aethiopia stands near the pole wearing a tiara — the pointed Persian royal cap — which gets three stars of its own while his head gets none: Cepheus is drawn crown-first. Feet, belt, shoulders, a chest and a left arm sketch the standing figure; the modern 'house' asterism lives in the same stars. His two unformed stars bracket the tiara, one preceding and one following, like attendants who missed the portrait."
Boo,Bootes,The Herdsman,22,1,"The Herdsman strides after the Bears carrying a collorobus — a shepherd's crook — in his right hand and a club below the shoulder. Left hand, elbow, shoulders and head give the upper body; belt, legs, heel and a left-shin trio plant him on the sky. And then the astonishment: Arcturus, fourth-brightest star in the heavens, is UNFORMED — 'between the thighs, called Arcturus, reddish' — catalogued beside the figure but not part of it. The brightest thing the Herdsman owns is not attached to him. It floats at his knees, edgeless by ancient decree, and this dataset keeps it that way."
CrB,Corona Borealis,The Northern Crown,8,0,"Ariadne's wedding crown, flung into the sky: eight stars in a small, perfect arc, described almost entirely by their order in the curve — 'the one preceding them all', then follower after follower to 'the last of all those in the crown'. Star 1 is the Brilliant One (Fulgens), today's Alphecca or Gemma, the jewel set in the ring. Ptolemy's sequence walks the arc itself; one bent stroke draws the whole diadem, with one small northern companion riding just above the band."
Her,Hercules,"Hercules, the Kneeler",29,1,"Ptolemy never calls him Hercules — the constellation is simply 'the Kneeler', a man down on one knee, drawn head-downward so that his head nearly touches the head of Ophiuchus. Arms spread from both shoulders, one hand open with a three-star palm; the torso hangs from two side stars, and both legs fold beneath him in long chains of thigh, knee, and foot. His right foot is 'the very same star as the tip of the crook' — one point of light doing double duty as the Kneeler's toe and the end of Boötes' shepherd's staff."
Lyr,Lyra,The Lyre,10,0,"The tortoise-shell lyre of Hermes, passed to Orpheus: a sounding shell, two rising horns, and the yoke joining them — a real instrument, described part by part. The Brilliant One on the shell is Vega; the close pair beside it is the modern epsilon Lyrae, the Double-Double. Four yoke stars make the small parallelogram that still defines the constellation's shape, hanging beneath Vega like the frame the strings were stretched on."
Cyg,Cygnus,The Bird,17,2,"Ptolemy's Bird — the swan of the Zeus-and-Leda story — flies south along the Milky Way with its neck at full stretch: beak, head, mid-neck, breast, and the brilliant tail star, which is Deneb. Each wing opens from an elbow into a feather-edge, the 'comb' of flight feathers, giving the long crossbeam that makes the modern Northern Cross. The beak star is Albireo; the right knee is 'like a little cloud', a star the catalogue itself admits is barely there."
Cas,Cassiopeia,"Cassiopeia, the Enthroned Queen",13,0,"The boastful queen of the Aethiopian royal family — wife of Cepheus, mother of Andromeda — seated on the throne to which the myth chained her. Ptolemy draws her from crown to toe down one long line: head, breast, girdle, thighs, knees, shin, foot; her arms reach from the breast, and the throne gets stars of its own — its foot, its middle, its edge. The zigzag that skywatchers know as the W is her body and chair folded together, circling the pole forever, sometimes upright, sometimes upside down."
